COD_SIOSE,COD_CORINE,CORINE_TXT,COD_MOPU,MOPU_TXT,MANNING
101,11100,Tejido urbano continuo,105,Rocas impermeables,0.1
102,14100,Zonas verdes urbanas,25,Masa forestal clara,0.09
103,51220,Laminas de agua,175,Laminas de agua,0.025
104,12210,Red viaria,105,Rocas impermeables,0.1
111,11100,Tejido urbano continuo,105,Rocas impermeables,0.1
121,13300,Zonas en construccion,5,Barbecho,0.04
131,13100,Zonas de extraccion minera,5,Barbecho,0.04
211,21300,Arrozales,125,Rotacion de cultivos densos,0.04
212,21210,Terrenos regados permanentemente,125,Rotacion de cultivos densos,0.04
222,22221,Citricos,65,Plantaciones regulares de aprovechamiento forestal pobre,0.06
223,22222,Frutales tropicales,75,Plantaciones regulares de aprovechamiento forestal medio,0.06
231,22110,Viñedos,65,Plantaciones regulares de aprovechamiento forestal pobre,0.05
232,22310,Olivar,105,Rocas impermeables,0.06
300,32112,Pastizal,85,Pradera media,0.035
312,31120,Caducifolias y marcescentes,35,Masa forestal espesa,0.07
313,31110,Bosques de frondosas,35,Masa forestal espesa,0.07
316,31210,Bosques de coniferas,35,Masa forestal espesa,0.07
320,32311,Vegetacion esclerofila,25,Masa forestal clara,0.055
331,33110,"Playas, dunas y arenales",155,"Playas, dunas y arenales",0.025
333,33310,Espacios con vegetacion escasa,95,Pradera pobre,0.03
334,33400,Zonas quemadas,5,Barbecho,0.04
336,33120,Ramblas con poca o sin vegetacion natural,155,"Playas, dunas y arenales",0.035
351,33210,"Rocas desnudas con fuerte pendiente (acantilados, etc.)",105,Rocas impermeables,0.025
352,33220,Afloramientos rocosos y canchales,105,Rocas impermeables,0.025
353,33220,Afloramientos rocosos y canchales,105,Rocas impermeables,0.025
411,41100,Humedales y zonas pantanosas,115,Rocas permeables,0.04
421,42100,Marismas,185,No procede,0.04
422,42200,Salinas,145,Salinas,0.04
511,51110,Cursos de agua,105,Rocas impermeables,0.04
513,51210,Lagos y lagunas,175,Laminas de agua,0.025
514,51220,Laminas de agua,175,Laminas de agua,0.025
521,52100,Lagunas costeras,165,Lagunas costeras,0.025
703,22223,Frutales y plantaciones de bayas,75,Plantaciones regulares de aprovechamiento forestal medio,0.06
704,24310,Terrenos principalmente agricola con importantes espacios de vegetacion natural,135,Rotacion de cultivos pobres,0.05
811,11100,Tejido urbano continuo,105,Rocas impermeables,0.1
812,11210,Ensanche,105,Rocas impermeables,0.1
813,12220,"Redes viarias, ferroviarias y terrenos asociados",105,Rocas impermeables,0.09
821,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
822,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
823,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
831,24212,Mosaico de cultivos permanentes en secano,65,Plantaciones regulares de aprovechamiento forestal pobre,0.035
833,13100,Zonas de extraccion minera,5,Barbecho,0.04
841,12120,Administrativo o institucional,105,Rocas impermeables,0.1
842,12120,Administrativo o institucional,105,Rocas impermeables,0.1
843,12120,Administrativo o institucional,105,Rocas impermeables,0.1
844,14100,Zonas verdes urbanas,25,Masa forestal clara,0.09
851,12120,Administrativo o institucional,105,Rocas impermeables,0.1
852,12120,Administrativo o institucional,105,Rocas impermeables,0.1
853,12120,Administrativo o institucional,105,Rocas impermeables,0.1
854,12120,Administrativo o institucional,105,Rocas impermeables,0.1
856,12120,Administrativo o institucional,105,Rocas impermeables,0.1
857,12120,Administrativo o institucional,105,Rocas impermeables,0.1
858,14220,Deportivo,105,Rocas impermeables,0.1
859,14210,Instalaciones deportivas y recreativas,55,Masas forestales (zonas deportivas-recreativas),0.35
860,14100,Zonas verdes urbanas,25,Masa forestal clara,0.09
881,12210,Red viaria,105,Rocas impermeables,0.1
882,12220,"Redes viarias, ferroviarias y terrenos asociados",105,Rocas impermeables,0.1
883,12300,Zonas portuarias,105,Rocas impermeables,0.1
884,12400,Aeropuertos,95,Pradera pobre,0.1
892,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
894,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
911,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.1
912,51120,Canales artificiales,105,Rocas impermeables,0.015
913,12110,Zonas industriales y comerciales,105,Rocas impermeables,0.09
921,13200,Escombreras y vertederos,5,Barbecho,0.04
922,12120,Administrativo o institucional,105,Rocas impermeables,0.1
