"icn52";"slope_mod";"soil_mod";"p0"
5;3;-2;15
5;3;-1;8
5;3;0;6
5;3;1;4
5;-3;-2;20
5;-3;-1;14
5;-3;0;11
5;-3;1;8
15;3;-2;29
15;3;-1;17
15;3;0;10
15;3;1;8
15;-3;-2;34
15;-3;-1;21
15;-3;0;14
15;-3;1;12
25;3;-2;60
25;3;-1;24
25;3;0;14
25;3;1;10
25;-3;-2;60
25;-3;-1;24
25;-3;0;14
25;-3;1;10
35;3;-2;90
35;3;-1;47
35;3;0;31
35;3;1;23
35;-3;-2;90
35;-3;-1;47
35;-3;0;31
35;-3;1;23
45;3;-2;75
45;3;-1;34
45;3;0;22
45;3;1;16
45;-3;-2;75
45;-3;-1;34
45;-3;0;22
45;-3;1;16
55;3;-2;40
55;3;-1;17
55;3;0;8
55;3;1;5
55;-3;-2;40
55;-3;-1;17
55;-3;0;8
55;-3;1;5
65;3;-2;62
65;3;-1;28
65;3;0;15
65;3;1;10
65;-3;-2;75
65;-3;-1;34
65;-3;0;19
65;-3;1;14
75;3;-2;80
75;3;-1;34
75;3;0;19
75;3;1;14
75;-3;-2;95
75;-3;-1;42
75;-3;0;22
75;-3;1;15
85;3;-2;53
85;3;-1;23
85;3;0;14
85;3;1;9
85;-3;-2;80
85;-3;-1;35
85;-3;0;17
85;-3;1;10
95;3;-2;24
95;3;-1;14
95;3;0;8
95;3;1;6
95;-3;-2;58
95;-3;-1;25
95;-3;0;12
95;-3;1;7
105;3;-2;2
105;3;-1;2
105;3;0;2
105;3;1;2
105;-3;-2;4
105;-3;-1;4
105;-3;0;4
105;-3;1;4
115;3;-2;3
115;3;-1;3
115;3;0;3
115;3;1;3
115;-3;-2;5
115;-3;-1;5
115;-3;0;5
115;-3;1;5
125;3;-2;37
125;3;-1;20
125;3;0;12
125;3;1;9
125;-3;-2;47
125;-3;-1;25
125;-3;0;16
125;-3;1;13
135;3;-2;26
135;3;-1;15
135;3;0;9
135;3;1;6
135;-3;-2;30
135;-3;-1;19
135;-3;0;13
135;-3;1;8
145;3;-2;67
145;3;-1;67
145;3;0;67
145;3;1;67
145;-3;-2;67
145;-3;-1;67
145;-3;0;67
145;-3;1;67
155;3;-2;67
155;3;-1;67
155;3;0;67
155;3;1;67
155;-3;-2;67
155;-3;-1;67
155;-3;0;67
155;-3;1;67
165;3;-2;0
165;3;-1;0
165;3;0;0
165;3;1;0
165;-3;-2;0
165;-3;-1;0
165;-3;0;0
165;-3;1;0
165;3;-2;0
165;3;-1;0
165;3;0;0
165;3;1;0
165;-3;-2;0
165;-3;-1;0
165;-3;0;0
165;-3;1;0
175;3;-2;9999
175;3;-1;9999
175;3;0;9999
175;3;1;9999
175;-3;-2;9999
175;-3;-1;9999
175;-3;0;9999
175;-3;1;9999
185;3;-2;23
185;3;-1;13
185;3;0;8
185;3;1;6
185;-3;-2;28
185;-3;-1;19
185;-3;0;14
185;-3;1;11
195;3;-2;70
195;3;-1;33
195;3;0;18
195;3;1;13
195;-3;-2;120
195;-3;-1;55
195;-3;0;22
195;-3;1;14
205;3;-2;80
205;3;-1;41
205;3;0;22
205;3;1;15
205;-3;-2;250
205;-3;-1;100
205;-3;0;25
205;-3;1;16
215;3;-2;100
215;3;-1;42
215;3;0;22
215;3;1;15
215;-3;-2;150
215;-3;-1;50
215;-3;0;25
215;-3;1;16
225;3;-2;120
225;3;-1;65
225;3;0;43
225;3;1;33
225;-3;-2;120
225;-3;-1;65
225;-3;0;43
225;-3;1;33
235;3;-2;6
235;3;-1;4
235;3;0;3
235;3;1;3
235;-3;-2;6
235;-3;-1;4
235;-3;0;3
235;-3;1;3
245;3;-2;12
245;3;-1;7
245;3;0;5
245;3;1;4
245;-3;-2;12
245;-3;-1;7
245;-3;0;5
245;-3;1;4
255;3;-2;1
255;3;-1;1
255;3;0;1
255;3;1;1
255;-3;-2;1
255;-3;-1;1
255;-3;0;1
255;-3;1;1
265;3;-2;16
265;3;-1;9
265;3;0;6
265;3;1;5
265;-3;-2;16
265;-3;-1;9
265;-3;0;6
265;-3;1;5
275;3;-2;20
275;3;-1;11
275;3;0;8
275;3;1;6
275;-3;-2;20
275;-3;-1;11
275;-3;0;8
275;-3;1;6
285;3;-2;79
285;3;-1;32
285;3;0;18
285;3;1;13
285;-3;-2;79
285;-3;-1;32
285;-3;0;18
285;-3;1;13
295;3;-2;0
295;3;-1;0
295;3;0;0
295;3;1;0
295;-3;-2;0
295;-3;-1;0
295;-3;0;0
295;-3;1;0
305;3;-2;39
305;3;-1;20
305;3;0;12
305;3;1;8
305;-3;-2;66
305;-3;-1;29
305;-3;0;15
305;-3;1;10
315;3;-2;75
315;3;-1;33
315;3;0;18
315;3;1;14
315;-3;-2;106
315;-3;-1;48
315;-3;0;22
315;-3;1;15
325;3;-2;31
325;3;-1;17
325;3;0;10
325;3;1;8
325;-3;-2;34
325;-3;-1;20
325;-3;0;13
325;-3;1;10
335;3;-2;79
335;3;-1;34
335;3;0;19
335;3;1;14
335;-3;-2;94
335;-3;-1;42
335;-3;0;22
335;-3;1;15
345;3;-2;76
345;3;-1;34
345;3;0;22
345;3;1;16
345;-3;-2;76
345;-3;-1;34
345;-3;0;22
345;-3;1;16
355;3;-2;24
355;3;-1;14
355;3;0;8
355;3;1;6
355;-3;-2;57
355;-3;-1;25
355;-3;0;12
355;-3;1;7
365;3;-2;53
365;3;-1;23
365;3;0;14
365;3;1;9
365;-3;-2;79
365;-3;-1;35
365;-3;0;17
365;-3;1;10
375;3;-2;76
375;3;-1;34
375;3;0;22
375;3;1;16
375;-3;-2;76
375;-3;-1;34
375;-3;0;22
375;-3;1;16
385;3;-2;152
385;3;-1;152
385;3;0;152
385;3;1;152
385;-3;-2;152
385;-3;-1;152
385;-3;0;152
385;-3;1;152
395;3;-2;248
395;3;-1;99
395;3;0;25
395;3;1;16
395;-3;-2;248
395;-3;-1;99
395;-3;0;25
395;-3;1;16
